region,country,reportyear,population,total_actual_dd,actual_dbd,actual_dcd,total_utilized_dd,utilized_dbd,utilized_dcd,dd_kidney_tx,ld_kidney_tx,total_kidney_tx,dd_liver_tx,domino_liver_tx,ld_liver_tx,total_liver_tx,total_heart,dd_lung_tx,ld_lung_tx,total_lung_tx,pancreas_tx,kidney_pancreas_tx,small_bowel_tx
Eastern Mediterranean,Jordan,2000,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Kenya,2000,30.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Pacific,Republic of Korea,2000,46.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Kuwait,2000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Kazakhstan,2000,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Pacific,Lao People's Democratic Republic,2000,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Lebanon,2000,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Libyan Arab Jamahiriya,2000,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Republic of Moldova,2000,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Mali,2000,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South-East Asia,Maldives,2000,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Nigeria,2000,111.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Nicaragua,2000,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Netherlands,2000,15.8,202,202,NA,NA,NA,NA,369,171,540,126,NA,NA,126,40,NA,NA,16,20,20,NA
Europe,Norway,2000,4.5,79,79,NA,NA,NA,NA,129,77,206,30,NA,NA,30,27,NA,NA,15,8,8,NA
Western Pacific,New Zealand,2000,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Pacific,Philippines,2000,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Poland,2000,38.8,410,410,NA,NA,NA,NA,780,32,812,73,NA,NA,73,129,NA,NA,NA,14,14,NA
Europe,Portugal,2000,9.9,194,194,NA,NA,NA,NA,346,10,356,162,NA,NA,162,15,NA,NA,NA,3,3,NA
America,Paraguay,2000,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Romania,2000,22.3,25,25,NA,NA,NA,NA,22,86,108,8,NA,NA,8,6,NA,NA,NA,NA,NA,NA
Europe,Serbia,2000,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Saudi Arabia,2000,21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Sudan,2000,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Pacific,Singapore,2000,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Slovenia,2000,2,22,22,NA,NA,NA,NA,44,NA,44,10,NA,NA,10,7,NA,NA,NA,NA,NA,NA
Europe,Slovakia,2000,5.4,46,46,NA,NA,NA,NA,85,7,92,NA,NA,NA,NA,11,NA,NA,NA,2,2,NA
Africa,Senegal,2000,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,El Salvador,2000,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Turkey,2000,66.6,NA,NA,NA,NA,NA,NA,92,276,368,59,NA,NA,59,11,NA,NA,NA,NA,NA,NA
America,United States of America,2000,278.4,5985,5852,118,NA,NA,NA,NA,NA,NA,NA,NA,385,385,NA,NA,NA,NA,1343,908,80
America,Uruguay,2000,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Uzbekistan,2000,24.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,South Africa,2000,40.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Albania,2001,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Armenia,2001,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Argentina,2001,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Austria,2001,8.1,191,191,NA,NA,NA,NA,362,52,414,126,0,2,128,66,NA,NA,57,27,19,1
Western Pacific,Australia,2001,19.3,180,180,NA,NA,NA,NA,328,198,526,120,0,0,120,68,NA,NA,74,21,21,0
Europe,Azerbaijan,2001,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Bosnia and Herzegovina,2001,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Belgium,2001,10.3,222,222,NA,NA,NA,NA,358,13,371,174,0,27,201,84,NA,NA,46,39,21,NA
Europe,Bulgaria,2001,7.9,2,2,NA,NA,NA,NA,4,17,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Pacific,Brunei Darussalam,2001,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Brazil,2001,172.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,77,NA,NA,NA,NA,NA,NA,NA
South-East Asia,Bhutan,2001,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Belarus,2001,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Canada,2001,31,420,420,NA,NA,NA,0,661,397,1058,297,NA,43,340,164,NA,NA,124,47,33,NA
Europe,Switzerland,2001,7.2,95,95,NA,NA,NA,NA,156,79,235,82,1,6,88,38,NA,NA,25,13,12,0
Western Pacific,China,2001,1285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Colombia,2001,42.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Costa Rica,2001,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Montenegro,2001,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Denmark,2001,5.3,70,70,NA,NA,NA,NA,121,41,162,32,NA,NA,32,31,NA,NA,29,0,0,0
America,Dominican Republic,2001,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Ecuador,2001,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Spain,2001,39.9,NA,NA,NA,NA,NA,NA,NA,31,31,952,12,20,972,341,NA,NA,143,58,56,0
Europe,Finland,2001,5.2,88,88,NA,NA,NA,NA,165,4,169,38,NA,0,38,10,NA,NA,1,0,0,0
Western Pacific,Fiji,2001,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Georgia,2001,5.2,0,0,NA,NA,NA,NA,0,6,6,0,0,0,0,0,NA,NA,0,0,0,0
Europe,Greece,2001,10.6,32,32,NA,NA,NA,NA,74,89,163,18,0,0,18,5,NA,NA,0,NA,NA,NA
America,Guatemala,2001,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Honduras,2001,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Croatia,2001,4.7,32,32,NA,NA,NA,NA,61,7,68,18,0,2,20,9,NA,NA,0,0,0,0
South-East Asia,Indonesia,2001,214.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Ireland,2001,3.8,68,68,NA,NA,NA,NA,113,2,115,35,0,0,35,11,NA,NA,0,10,9,NA
Eastern Mediterranean,Iran (Islamic Republic of),2001,71.4,43,43,0,NA,NA,NA,70,NA,70,16,0,2,18,14,NA,NA,4,0,0,0
Europe,Iceland,2001,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Italy,2001,57.5,988,988,NA,NA,NA,NA,NA,99,99,762,NA,32,794,316,NA,NA,61,70,61,5
Eastern Mediterranean,Jordan,2001,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Kenya,2001,31.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Pacific,Republic of Korea,2001,47.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Kuwait,2001,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Kazakhstan,2001,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Pacific,Lao People's Democratic Republic,2001,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Lebanon,2001,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Libyan Arab Jamahiriya,2001,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Republic of Moldova,2001,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Mali,2001,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South-East Asia,Maldives,2001,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Nigeria,2001,116.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Nicaragua,2001,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Netherlands,2001,15.9,187,187,NA,NA,NA,NA,337,163,500,107,0,0,107,37,NA,NA,27,23,23,1
Europe,Norway,2001,4.5,65,65,NA,NA,NA,NA,125,86,211,36,0,1,37,29,NA,NA,13,12,12,0
Western Pacific,New Zealand,2001,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Pacific,Philippines,2001,77.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Poland,2001,38.6,450,450,NA,NA,NA,NA,843,36,879,88,NA,15,103,129,NA,NA,NA,17,17,NA
Europe,Portugal,2001,10,202,202,NA,NA,NA,NA,359,10,369,181,29,3,184,17,NA,NA,NA,4,4,NA
America,Paraguay,2001,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Romania,2001,22.4,21,21,NA,NA,NA,NA,40,126,166,8,1,4,12,4,NA,NA,NA,NA,NA,NA
Europe,Serbia,2001,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Saudi Arabia,2001,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Sudan,2001,31.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Pacific,Singapore,2001,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Slovenia,2001,2,23,23,NA,NA,NA,NA,47,0,47,9,0,0,9,4,NA,NA,0,0,0,0
Europe,Slovakia,2001,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Senegal,2001,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,El Salvador,2001,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Turkey,2001,67.6,89,89,NA,NA,NA,NA,162,329,491,107,NA,NA,107,27,NA,NA,NA,NA,NA,NA
America,United States of America,2001,285.9,6080,5911,167,NA,NA,NA,NA,NA,NA,NA,NA,518,518,NA,NA,NA,NA,1352,888,111
America,Uruguay,2001,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Uzbekistan,2001,25.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,South Africa,2001,43.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Albania,2002,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Armenia,2002,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Argentina,2002,37.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Austria,2002,8.1,195,195,NA,NA,NA,NA,368,42,410,151,0,4,155,72,NA,NA,90,52,35,5
Western Pacific,Australia,2002,19.5,206,206,NA,NA,NA,NA,374,238,612,152,0,1,153,87,NA,NA,99,25,24,0
Europe,Azerbaijan,2002,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Bosnia and Herzegovina,2002,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Belgium,2002,10.3,223,223,NA,NA,NA,NA,334,15,349,196,2,30,226,85,NA,NA,49,86,20,NA
Europe,Bulgaria,2002,7.8,8,8,NA,NA,NA,NA,16,15,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Pacific,Brunei Darussalam,2002,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Brazil,2002,174.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,131,NA,NA,NA,NA,NA,NA,NA
South-East Asia,Bhutan,2002,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Belarus,2002,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Canada,2002,31.3,411,411,0,NA,NA,0,627,391,1018,339,NA,42,381,168,NA,NA,177,74,41,0
Europe,Switzerland,2002,7.2,75,75,NA,NA,NA,NA,131,73,204,73,0,10,83,32,NA,NA,40,13,11,1
Western Pacific,China,2002,1294.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Colombia,2002,43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Costa Rica,2002,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Montenegro,2002,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Denmark,2002,5.3,73,73,NA,NA,NA,NA,132,39,171,38,NA,1,39,30,NA,NA,47,NA,NA,NA
America,Dominican Republic,2002,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Ecuador,2002,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Spain,2002,39.9,NA,NA,NA,NA,NA,NA,NA,34,34,992,14,41,1033,310,NA,NA,161,67,56,2
Europe,Finland,2002,5.2,89,89,NA,NA,NA,NA,169,3,172,47,0,0,47,18,NA,NA,4,0,0,0
Western Pacific,Fiji,2002,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Georgia,2002,5.2,0,0,NA,NA,NA,NA,0,6,6,0,0,0,0,0,NA,NA,0,0,0,0
Europe,Greece,2002,10.6,65,65,NA,NA,NA,NA,107,85,192,21,0,0,21,9,NA,NA,0,0,0,0
America,Guatemala,2002,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Honduras,2002,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Croatia,2002,4.7,41,41,NA,NA,NA,NA,77,4,81,24,0,1,25,9,NA,NA,NA,NA,NA,NA
South-East Asia,Indonesia,2002,217.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Ireland,2002,3.9,80,80,NA,NA,NA,NA,144,3,147,38,NA,NA,38,16,NA,NA,NA,10,9,NA
Eastern Mediterranean,Iran (Islamic Republic of),2002,72.4,52,52,0,NA,NA,NA,96,NA,96,22,0,1,23,11,NA,NA,0,0,0,0
Europe,Iceland,2002,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Italy,2002,57.4,NA,NA,NA,NA,NA,NA,NA,124,124,830,NA,33,863,312,NA,NA,NA,66,50,5
Eastern Mediterranean,Jordan,2002,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Kenya,2002,31.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Pacific,Republic of Korea,2002,47.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Kuwait,2002,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Kazakhstan,2002,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Pacific,Lao People's Democratic Republic,2002,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Lebanon,2002,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Libyan Arab Jamahiriya,2002,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Republic of Moldova,2002,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Mali,2002,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
